VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee
1,2024-01-01 06:56:53,2024-01-01 07:26:30,1,0.0,1,N,75,191,1,48.5,0.0,0.5,0.0,6.94,1.0,56.94,0.0,0.0
1,2024-01-05 14:25:26,2024-01-05 14:41:28,1,1.7,1,N,162,142,2,13.5,2.5,0.5,0.0,0.0,1.0,17.5,2.5,0.0
1,2024-01-31 19:13:08,2024-01-31 19:31:44,1,2.8,1,N,48,140,1,17.7,5.0,0.5,4.84,0.0,1.0,29.04,2.5,0.0
2,2024-01-21 16:26:03,2024-01-21 16:35:03,1,0.9,1,N,261,13,2,9.3,0.0,0.5,0.0,0.0,1.0,13.3,2.5,0.0
2,2024-01-08 11:14:37,2024-01-08 11:47:35,1,8.27,1,N,234,129,2,39.4,0.0,0.5,0.0,6.94,1.0,50.34,2.5,0.0
1,2024-01-22 13:47:16,2024-01-22 14:48:52,1,17.5,99,N,254,37,1,53.5,0.0,0.5,0.0,6.94,1.0,61.94,0.0,0.0
2,2024-01-26 13:36:18,2024-01-26 13:45:48,1,1.47,1,N,161,237,1,11.4,0.0,0.5,1.5,0.0,1.0,16.9,2.5,0.0
2,2024-01-11 10:27:38,2024-01-11 10:35:05,1,1.37,1,N,75,74,1,9.3,0.0,0.5,2.16,0.0,1.0,12.96,0.0,0.0
2,2024-01-05 15:34:07,2024-01-05 15:50:44,1,2.2,1,N,162,239,1,17.0,0.0,0.5,3.15,0.0,1.0,24.15,2.5,0.0
2,2024-01-14 00:40:41,2024-01-14 00:45:17,4,0.52,1,N,79,148,1,5.8,1.0,0.5,2.7,0.0,1.0,13.5,2.5,0.0
2,2024-01-03 16:06:22,2024-01-03 16:10:34,3,0.64,1,N,229,161,1,6.5,2.5,0.5,2.6,0.0,1.0,15.6,2.5,0.0
2,2024-01-03 21:02:47,2024-01-03 21:28:57,2,6.22,1,N,114,151,1,30.3,1.0,0.5,8.82,0.0,1.0,44.12,2.5,0.0
2,2024-01-12 18:28:21,2024-01-12 18:38:47,1,1.26,1,N,186,234,1,10.7,2.5,0.5,3.44,0.0,1.0,20.64,2.5,0.0
2,2024-01-10 16:49:15,2024-01-10 17:01:54,1,1.38,1,N,234,246,1,12.1,2.5,0.5,3.72,0.0,1.0,22.32,2.5,0.0
2,2024-01-23 13:05:59,2024-01-23 13:13:35,1,0.92,1,N,237,162,1,8.6,0.0,0.5,2.52,0.0,1.0,15.12,2.5,0.0
2,2024-01-04 02:32:57,2024-01-04 03:07:27,1,14.56,1,N,134,246,1,60.4,1.0,0.5,0.0,0.0,1.0,65.4,2.5,0.0
2,2024-01-26 23:52:21,2024-01-27 00:21:27,1,4.46,1,N,234,239,1,28.9,1.0,0.5,6.78,0.0,1.0,43.18,2.5,0.0
2,2024-01-09 10:21:40,2024-01-09 10:44:26,1,12.47,1,N,141,87,1,51.3,0.0,0.5,2.0,0.0,1.0,57.3,2.5,0.0
1,2024-01-20 09:03:20,2024-01-20 09:18:59,1,4.2,1,N,229,7,2,21.2,2.5,0.5,0.0,0.0,1.0,25.2,2.5,0.0
2,2024-01-29 17:48:57,2024-01-29 18:01:01,1,1.49,1,N,161,141,1,12.1,2.5,0.5,2.79,0.0,1.0,21.39,2.5,0.0
2,2024-01-13 16:30:33,2024-01-13 17:05:02,1,6.23,1,N,239,87,1,35.9,0.0,0.5,7.98,0.0,1.0,47.88,2.5,0.0
2,2024-01-18 16:27:41,2024-01-18 16:31:28,1,0.68,1,N,140,262,1,5.8,2.5,0.5,3.08,0.0,1.0,15.38,2.5,0.0
2,2024-01-20 17:16:14,2024-01-20 18:15:37,2,19.15,2,N,132,158,1,70.0,0.0,0.5,10.0,6.94,1.0,92.69,2.5,1.75
2,2024-01-24 18:14:37,2024-01-24 18:29:22,1,2.5,1,N,166,263,1,15.6,2.5,0.5,3.98,0.0,1.0,26.08,2.5,0.0
2,2024-01-04 13:07:30,2024-01-04 13:46:09,1,17.66,2,N,132,100,1,70.0,0.0,0.5,16.54,6.94,1.0,99.23,2.5,1.75
2,2024-01-25 17:49:14,2024-01-25 18:28:10,1,8.5,1,N,162,138,1,40.1,7.5,0.5,10.32,0.0,1.0,61.92,2.5,0.0
2,2024-01-11 16:44:53,2024-01-11 17:25:10,1,14.75,1,N,132,210,1,58.3,2.5,0.5,12.96,0.0,1.0,79.51,2.5,1.75
1,2024-01-13 10:36:34,2024-01-13 10:46:38,1,1.8,1,N,142,186,1,11.4,2.5,0.5,3.05,0.0,1.0,18.45,2.5,0.0
2,2024-01-18 19:49:15,2024-01-18 20:03:39,1,1.64,1,N,230,234,1,13.5,2.5,0.5,3.0,0.0,1.0,23.0,2.5,0.0
2,2024-01-20 21:11:31,2024-01-20 21:25:42,2,2.21,1,N,142,90,1,14.2,1.0,0.5,1.75,0.0,1.0,20.95,2.5,0.0
2,2024-01-13 12:38:59,2024-01-13 12:45:35,1,1.17,1,N,163,233,1,7.9,0.0,0.5,2.38,0.0,1.0,14.28,2.5,0.0
1,2024-01-10 12:53:37,2024-01-10 13:00:58,1,1.3,1,N,236,151,1,9.3,2.5,0.5,2.65,0.0,1.0,15.95,2.5,0.0
1,2024-01-17 19:52:20,2024-01-17 19:52:28,1,2.0,5,N,239,239,1,18.6,0.0,0.0,3.0,0.0,1.0,22.6,0.0,0.0
1,2024-01-06 15:56:07,2024-01-06 16:08:39,1,0.8,1,N,234,164,2,9.3,2.5,0.5,0.0,0.0,1.0,13.3,2.5,0.0
2,2024-01-08 17:35:36,2024-01-08 17:40:00,1,0.51,1,N,143,142,1,6.5,2.5,0.5,3.9,0.0,1.0,16.9,2.5,0.0
2,2024-01-20 19:25:35,2024-01-20 19:44:28,1,1.67,1,N,48,233,2,17.0,0.0,0.5,0.0,0.0,1.0,21.0,2.5,0.0
2,2024-01-22 20:53:10,2024-01-22 21:03:29,1,1.98,1,N,158,164,1,12.1,1.0,0.5,5.13,0.0,1.0,22.23,2.5,0.0
2,2024-01-11 01:08:13,2024-01-11 01:10:46,1,0.42,1,N,114,79,1,5.1,1.0,0.5,2.02,0.0,1.0,12.12,2.5,0.0
2,2024-01-22 19:21:44,2024-01-22 19:33:21,2,1.55,1,N,229,237,1,12.8,2.5,0.5,3.86,0.0,1.0,23.16,2.5,0.0
1,2024-01-05 14:17:41,2024-01-05 14:17:56,1,0.1,5,N,138,138,1,65.0,6.75,0.0,5.0,0.0,1.0,77.75,0.0,1.75
2,2024-01-27 21:03:05,2024-01-27 21:10:31,1,0.65,1,N,113,249,1,7.9,1.0,0.5,1.94,0.0,1.0,14.84,2.5,0.0
2,2024-01-07 00:08:51,2024-01-07 00:24:59,1,2.96,1,N,25,181,1,17.7,1.0,0.5,4.04,0.0,1.0,24.24,0.0,0.0
1,2024-01-10 17:51:12,2024-01-10 18:00:48,1,0.7,1,N,170,186,1,10.0,5.0,0.5,4.95,0.0,1.0,21.45,2.5,0.0
2,2024-01-26 15:30:42,2024-01-26 15:50:13,1,2.21,1,N,161,140,1,17.7,0.0,0.5,4.34,0.0,1.0,26.04,2.5,0.0
1,2024-01-10 13:44:53,2024-01-10 13:55:25,1,1.8,1,N,50,239,1,12.1,2.5,0.5,4.05,0.0,1.0,20.15,2.5,0.0
2,2024-01-11 09:53:30,2024-01-11 10:11:38,1,1.9,1,N,162,234,2,17.0,0.0,0.5,0.0,0.0,1.0,21.0,2.5,0.0
2,2024-01-14 21:49:47,2024-01-14 21:55:33,1,1.16,1,N,163,186,1,7.9,1.0,0.5,2.58,0.0,1.0,15.48,2.5,0.0
1,2024-01-09 15:07:51,2024-01-09 15:19:54,2,0.9,1,N,262,236,2,7.9,2.5,0.5,0.0,0.0,1.0,11.9,2.5,0.0
2,2024-01-06 21:06:48,2024-01-06 21:15:50,2,2.12,1,N,162,263,1,12.1,1.0,0.5,3.42,0.0,1.0,20.52,2.5,0.0
2,2024-01-31 09:56:05,2024-01-31 09:59:48,1,0.68,1,N,75,236,2,5.8,0.0,0.5,0.0,0.0,1.0,9.8,2.5,0.0
1,2024-01-01 02:55:27,2024-01-01 03:14:21,1,3.9,1,N,143,234,1,21.9,3.5,0.5,3.0,0.0,1.0,29.9,2.5,0.0
2,2024-01-21 14:29:51,2024-01-21 14:51:29,1,3.78,1,N,114,50,1,23.3,0.0,0.5,5.46,0.0,1.0,32.76,2.5,0.0
2,2024-01-26 16:39:28,2024-01-26 16:42:00,1,0.88,1,N,229,237,1,5.8,2.5,0.5,2.46,0.0,1.0,14.76,2.5,0.0
2,2024-01-23 14:22:35,2024-01-23 14:42:54,1,2.34,1,N,249,48,2,17.7,0.0,0.5,0.0,0.0,1.0,21.7,2.5,0.0
2,2024-01-19 12:22:17,2024-01-19 12:32:01,1,0.75,1,N,229,163,1,10.0,0.0,0.5,2.8,0.0,1.0,16.8,2.5,0.0
2,2024-01-28 17:52:04,2024-01-28 17:56:04,1,0.73,1,N,90,68,1,6.5,0.0,0.5,1.5,0.0,1.0,12.0,2.5,0.0
1,2024-01-18 23:21:16,2024-01-18 23:25:44,2,1.0,1,N,249,211,1,7.2,3.5,0.5,1.5,0.0,1.0,13.7,2.5,0.0
2,2024-01-06 14:36:03,2024-01-06 14:46:30,1,2.88,1,N,142,152,1,14.2,0.0,0.5,3.64,0.0,1.0,21.84,2.5,0.0
1,2024-01-04 20:28:57,2024-01-04 20:44:27,1,3.3,1,N,211,50,1,17.0,3.5,0.5,3.3,0.0,1.0,25.3,2.5,0.0
2,2024-01-31 18:02:24,2024-01-31 18:12:18,1,1.0,1,N,246,68,1,10.0,2.5,0.5,2.0,0.0,1.0,18.5,2.5,0.0
2,2024-01-12 07:24:52,2024-01-12 07:33:07,1,1.15,1,N,237,236,1,10.0,0.0,0.5,1.4,0.0,1.0,15.4,2.5,0.0
2,2024-01-19 21:26:52,2024-01-19 21:31:47,2,1.54,1,N,48,239,1,8.6,1.0,0.5,1.36,0.0,1.0,14.96,2.5,0.0
2,2024-01-29 12:41:28,2024-01-29 12:56:05,1,2.14,1,N,48,238,1,14.9,0.0,0.5,5.67,0.0,1.0,24.57,2.5,0.0
2,2024-01-11 17:29:32,2024-01-11 17:46:11,1,1.98,1,N,161,142,1,15.6,2.5,0.5,4.42,0.0,1.0,26.52,2.5,0.0
2,2024-01-29 16:32:20,2024-01-29 16:35:02,1,0.68,1,N,233,229,1,5.8,2.5,0.5,2.46,0.0,1.0,14.76,2.5,0.0
2,2024-01-18 13:55:15,2024-01-18 14:08:00,1,1.9,1,N,239,75,2,14.2,0.0,0.5,0.0,0.0,1.0,18.2,2.5,0.0
2,2024-01-01 03:20:59,2024-01-01 03:28:33,1,1.4,1,N,90,79,1,10.0,1.0,0.5,3.0,0.0,1.0,18.0,2.5,0.0
